INFO:root:Dataset: sln
INFO:mainlogger.util:The dimension after PCA is:  200
INFO:root:There are 2742 pairred samples with 200 RNAs (after PCA) and 110 proteins for training.
INFO:root:There are 12342 unlabeled mRNAs amples and 12342 unlabeled protein samples for training.
INFO:root:There are 3048 pairred samples for testing.
INFO:root:

INFO:mainlogger:Begin training!
INFO:mainlogger:Epoch 35: Train Loss: 1.0527, Train PCC: 0.2565, Val Loss: 1.2709,Val PCC: 0.1044, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 36: Train Loss: 1.0473, Train PCC: 0.2594, Val Loss: 1.3117,Val PCC: 0.1019, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 37: Train Loss: 1.0470, Train PCC: 0.2611, Val Loss: 1.2556,Val PCC: 0.1045, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 38: Train Loss: 1.0386, Train PCC: 0.2645, Val Loss: 1.3097,Val PCC: 0.1054, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 39: Train Loss: 1.0307, Train PCC: 0.2690, Val Loss: 1.2743,Val PCC: 0.1048, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 40: Train Loss: 1.0348, Train PCC: 0.2668, Val Loss: 1.2571,Val PCC: 0.1074, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 41: Train Loss: 1.0199, Train PCC: 0.2721, Val Loss: 1.2683,Val PCC: 0.1058, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 42: Train Loss: 1.0152, Train PCC: 0.2741, Val Loss: 1.2709,Val PCC: 0.1060, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 43: Train Loss: 1.0104, Train PCC: 0.2770, Val Loss: 1.2831,Val PCC: 0.1057, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 44: Train Loss: 1.0137, Train PCC: 0.2799, Val Loss: 1.2795,Val PCC: 0.1050, Best epoch: 30, Best val loss: 1.2423
