INFO:root:Dataset: cbmc
INFO:mainlogger.util:The dimension after PCA is:  200
INFO:root:There are 599 pairred samples with 200 RNAs (after PCA) and 13 proteins for training.
INFO:root:There are 2696 unlabeled mRNAs amples and 2696 unlabeled protein samples for training.
INFO:root:There are 2561 pairred samples for testing.
INFO:root:

INFO:mainlogger:Begin training!
INFO:mainlogger:Epoch 35: Train Loss: 112.3208, Train PCC: 0.1663, Val Loss: 154.7859,Val PCC: 0.1122, Best epoch: 35, Best val loss: 154.7859
INFO:mainlogger:Epoch 36: Train Loss: 112.7124, Train PCC: 0.1581, Val Loss: 154.5720,Val PCC: 0.1154, Best epoch: 36, Best val loss: 154.5720
INFO:mainlogger:Epoch 37: Train Loss: 111.9499, Train PCC: 0.1639, Val Loss: 154.9937,Val PCC: 0.1129, Best epoch: 36, Best val loss: 154.5720
INFO:mainlogger:Epoch 38: Train Loss: 111.7184, Train PCC: 0.1691, Val Loss: 154.4286,Val PCC: 0.1132, Best epoch: 38, Best val loss: 154.4286
INFO:mainlogger:Epoch 39: Train Loss: 112.6758, Train PCC: 0.1685, Val Loss: 153.7976,Val PCC: 0.1002, Best epoch: 39, Best val loss: 153.7976
INFO:mainlogger:Epoch 40: Train Loss: 110.9942, Train PCC: 0.1691, Val Loss: 153.3456,Val PCC: 0.1084, Best epoch: 40, Best val loss: 153.3456
INFO:mainlogger:Epoch 41: Train Loss: 111.0440, Train PCC: 0.1733, Val Loss: 153.3327,Val PCC: 0.1057, Best epoch: 41, Best val loss: 153.3327
INFO:mainlogger:Epoch 42: Train Loss: 110.6894, Train PCC: 0.1707, Val Loss: 152.4852,Val PCC: 0.1118, Best epoch: 42, Best val loss: 152.4852
INFO:mainlogger:Epoch 43: Train Loss: 110.2573, Train PCC: 0.1731, Val Loss: 152.3620,Val PCC: 0.1122, Best epoch: 43, Best val loss: 152.3620
INFO:mainlogger:Epoch 44: Train Loss: 109.8129, Train PCC: 0.1761, Val Loss: 152.7752,Val PCC: 0.1173, Best epoch: 43, Best val loss: 152.3620
