INFO:root:Dataset: sln
INFO:mainlogger.util:The dimension after PCA is:  200
INFO:root:There are 2742 pairred samples with 200 RNAs (after PCA) and 110 proteins for training.
INFO:root:There are 12342 unlabeled mRNAs amples and 12342 unlabeled protein samples for training.
INFO:root:There are 3048 pairred samples for testing.
INFO:root:

INFO:mainlogger:Begin training!
INFO:mainlogger:Epoch 35: Train Loss: 0.2897, Train PCC: 0.7811, Val Loss: 0.9443,Val PCC: 0.3142, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 36: Train Loss: 0.2821, Train PCC: 0.7860, Val Loss: 0.9382,Val PCC: 0.3091, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 37: Train Loss: 0.2715, Train PCC: 0.7943, Val Loss: 0.9585,Val PCC: 0.3048, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 38: Train Loss: 0.2637, Train PCC: 0.8002, Val Loss: 0.9596,Val PCC: 0.3074, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 39: Train Loss: 0.2582, Train PCC: 0.8051, Val Loss: 0.9722,Val PCC: 0.3049, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 40: Train Loss: 0.2556, Train PCC: 0.8063, Val Loss: 0.9801,Val PCC: 0.3043, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 41: Train Loss: 0.2479, Train PCC: 0.8119, Val Loss: 0.9851,Val PCC: 0.3040, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 42: Train Loss: 0.2409, Train PCC: 0.8171, Val Loss: 1.0042,Val PCC: 0.3029, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 43: Train Loss: 0.2360, Train PCC: 0.8213, Val Loss: 1.0134,Val PCC: 0.3018, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 44: Train Loss: 0.2321, Train PCC: 0.8237, Val Loss: 1.0218,Val PCC: 0.3012, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 45: Train Loss: 0.2276, Train PCC: 0.8257, Val Loss: 1.0300,Val PCC: 0.2975, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 46: Train Loss: 0.2322, Train PCC: 0.8217, Val Loss: 1.0360,Val PCC: 0.3019, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 47: Train Loss: 0.2237, Train PCC: 0.8292, Val Loss: 1.0360,Val PCC: 0.3028, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 48: Train Loss: 0.2192, Train PCC: 0.8327, Val Loss: 1.0450,Val PCC: 0.2994, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 49: Train Loss: 0.2132, Train PCC: 0.8364, Val Loss: 1.0583,Val PCC: 0.2993, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 50: Train Loss: 0.2094, Train PCC: 0.8383, Val Loss: 1.0680,Val PCC: 0.2993, Best epoch: 7, Best val loss: 0.6784
